123.2	35.4
146.2	43.6
124.2	37.4
122.4	36.4
116.2	32.8
127.2	34.4
127.4	35.4
135.4	40.8
135.4	37.6
120.4	29.4
147.2	42.2
135.6	39.4
139.6	35.4
130.4	36.4
133.4	40.6
130.6	31.4
119.4	29.6
117.4	26.6
116.2	28.6
142.4	43.4
126.4	35.6
115.6	25.6
121.4	34.4
111.4	26.8
122.2	35.8
106.4	28.4
116.4	30.6
113.8	26.8
115.4	30.2
109.6	26.2
117.2	36.2
91.4	25.4
98.2	27.2
95.4	24.6
117.2	29.4
107.2	30.6
105.4	30.2
100.6	28.4
105.4	28.4
110.4	30.2
111.4	33.6
106.2	23.6
95.2	24.2
107.4	30.6
106.8	28.8
107.2	27.2
107	20.4
110.6	26.6
110.2	28.4
117.4	32.4
103.8	25.8
105.4	25.8
95.6	24.8
107.6	23.4
91.6	23.4
103.2	23.8
99.6	26.8
102.2	27.8
104.2	29.4
102.2	23.6
99.4	23.4
101.4	27.4
134.1	38.4
136.8	38.2
136.4	39.6
117.4	35.2
138.6	39.2
123.4	32.8
123.4	38.4
110.2	33.8
138.4	39.2
124.2	35.6
132.4	31.8
137.2	40.4
125.1	36.2
117.2	32.6
121.4	39.2
107.4	30.4
143.2	45.2
98.2	23.4
130.6	37.4
126.2	35.4
135.2	38.6
118.2	27.2
120.4	26.4
121.4	39.4
113.2	34.4
137.2	37.4
132.2	37.4
128.2	37.6
123.4	36.6
143.4	44.2
117.4	36.8
125.2	37.2
114.4	27.4
120.2	36.4
133.2	34.6
142.4	43.4
126.2	37.4
104.4	28.2
127.4	38.2
116.2	28.6
131.2	32.8
130.2	40.4
129.8	35.8
123.2	38.4
129.2	42.4
120.2	36.6
140.2	39.2
106.2	25.4
126.4	38.6
122	30.2
114.2	32.6
117.4	32.6
131.4	37.4
131.6	39.6
120.2	30.2
120.2	22.6
109.2	28.8
103.4	30.2
104.2	23.2
99.2	28.4
121.4	37.8
112.8	35.6
99.6	26.4
109.4	31.4
109.4	31.4
91.2	21.2
102.4	23.6
100.2	29.4
98.2	25.8
112.2	32.4
112.2	33.8
99.8	23.6
111.2	26.8
103.4	28.7
109.4	28.6
99.4	26.8
102.2	23.8
107.2	28.7
120.4	34.6
88.4	19.4
104.4	28.4
99.6	27.4
108.2	30.5
107.2	29.2
114.2	26.4
104.8	31.4
111.4	30.2
102.6	27.6
99.6	25.4
109.4	29.7
105.6	32.4
106.4	31.6
100.4	25.6
106.4	29.6
115.4	32.6
95.4	26.4
100.2	26.8
110.2	31.6
120.2	32.8
114.4	30.8
87.2	19.4
100.6	26.8
104.8	30.1
112.2	32.6
113.4	32.6
104.2	23.2
99.6	27.9
102.2	23.4
105.2	26.6
111.8	23.2
105.8	30.8
102.8	23.8
102.4	29.6
105.4	28.8
100.1	27.4
112.4	27.2
97.6	28.2
95.4	20.4
107.4	24.8
106.2	25.8
105.2	28.6
94.2	26.8
106.4	30.2
100.2	26.6
106.4	31.2
113.8	27.8
106.4	31.4
99.2	21.2
99.4	26.8
111.4	31.8
107.8	26.7
111.2	24.6
116.8	28.7
99.4	22.6
104.8	23.2
104.4	22.6
112.4	34.6
110.2	25.4
114.4	26.6
